,0.5
0.01,0.4494
0.03,0.4586
0.05,0.4558
0.06999999999999999,0.4473
0.09,0.4588
0.11,0.4636
0.13,0.4612
0.15000000000000002,0.4541
0.17,0.4542
0.19,0.445
0.21000000000000002,0.4568
0.23,0.4517
0.25,0.4535
0.27,0.4501
0.29000000000000004,0.4396
0.31,0.4503
0.33,0.4505
0.35000000000000003,0.4433
0.37,0.447
0.39,0.4587
0.41000000000000003,0.4572
0.43,0.4467
0.45,0.4561
0.47000000000000003,0.4524
0.49,0.4488
0.51,0.4595
0.53,0.444
0.55,0.4529
0.5700000000000001,0.4477
0.59,0.4492
0.61,0.4461
0.63,0.4458
0.65,0.4491
0.67,0.4464
0.6900000000000001,0.4515
0.7100000000000001,0.4464
0.73,0.4456
0.75,0.4431
0.77,0.4438
0.79,0.4414
0.81,0.4406
0.8300000000000001,0.4387
0.85,0.4238
0.87,0.4099
0.89,0.3904
0.91,0.3744
0.93,0.3213
0.9500000000000001,0.268
0.97,0.1901
0.99,0.0833
