,0.5
0.01,0.0843
0.03,0.0919
0.05,0.0894
0.06999999999999999,0.0834
0.09,0.0879
0.11,0.0902
0.13,0.0861
0.15000000000000002,0.0881
0.17,0.0855
0.19,0.0835
0.21000000000000002,0.0902
0.23,0.086
0.25,0.0796
0.27,0.0813
0.29000000000000004,0.0808
0.31,0.0884
0.33,0.0831
0.35000000000000003,0.0883
0.37,0.0869
0.39,0.0836
0.41000000000000003,0.0818
0.43,0.085
0.45,0.0832
0.47000000000000003,0.0797
0.49,0.0778
0.51,0.088
0.53,0.084
0.55,0.0785
0.5700000000000001,0.0771
0.59,0.0796
0.61,0.0754
0.63,0.0806
0.65,0.074
0.67,0.0715
0.6900000000000001,0.07
0.7100000000000001,0.0732
0.73,0.0663
0.75,0.0655
0.77,0.0646
0.79,0.0623
0.81,0.0604
0.8300000000000001,0.0578
0.85,0.0572
0.87,0.0511
0.89,0.0462
0.91,0.0425
0.93,0.032
0.9500000000000001,0.0254
0.97,0.0197
0.99,0.0122
