,0.5
0.01,0.0016
0.03,0.0023
0.05,0.0017
0.06999999999999999,0.0009
0.09,0.0018
0.11,0.0013
0.13,0.0014
0.15000000000000002,0.0011
0.17,0.0014
0.19,0.0014
0.21000000000000002,0.0017
0.23,0.0009
0.25,0.0023
0.27,0.0011
0.29000000000000004,0.0013
0.31,0.0015
0.33,0.0013
0.35000000000000003,0.001
0.37,0.001
0.39,0.0014
0.41000000000000003,0.0019
0.43,0.0019
0.45,0.0015
0.47000000000000003,0.0009
0.49,0.0016
0.51,0.0016
0.53,0.0019
0.55,0.0017
0.5700000000000001,0.0008
0.59,0.0015
0.61,0.0017
0.63,0.0014
0.65,0.0018
0.67,0.0013
0.6900000000000001,0.001
0.7100000000000001,0.0015
0.73,0.0015
0.75,0.001
0.77,0.0015
0.79,0.0009
0.81,0.0015
0.8300000000000001,0.001
0.85,0.0009
0.87,0.0003
0.89,0.0008
0.91,0.0008
0.93,0.0006
0.9500000000000001,0.0002
0.97,0.0002
0.99,0.0003
