,0.5
0.01,0.98
0.03,0.9799
0.05,0.9827
0.06999999999999999,0.982
0.09,0.979
0.11,0.9839
0.13,0.9799
0.15000000000000002,0.9796
0.17,0.9779
0.19,0.9796
0.21000000000000002,0.9801
0.23,0.9778
0.25,0.98
0.27,0.979
0.29000000000000004,0.9799
0.31,0.9799
0.33,0.9795
0.35000000000000003,0.9774
0.37,0.9777
0.39,0.9768
0.41000000000000003,0.9756
0.43,0.9751
0.45,0.9741
0.47000000000000003,0.9738
0.49,0.9709
0.51,0.9698
0.53,0.9695
0.55,0.9673
0.5700000000000001,0.9648
0.59,0.9643
0.61,0.9631
0.63,0.9595
0.65,0.9561
0.67,0.9526
0.6900000000000001,0.9464
0.7100000000000001,0.9407
0.73,0.9352
0.75,0.9292
0.77,0.919
0.79,0.9088
0.81,0.8947
0.8300000000000001,0.869
0.85,0.8584
0.87,0.8215
0.89,0.7756
0.91,0.7278
0.93,0.6185
0.9500000000000001,0.5082
0.97,0.3417
0.99,0.1343
