,0.5
0.01,0.9804
0.03,0.9815
0.05,0.9806
0.06999999999999999,0.982
0.09,0.9799
0.11,0.9788
0.13,0.9788
0.15000000000000002,0.9796
0.17,0.9794
0.19,0.976
0.21000000000000002,0.9785
0.23,0.9802
0.25,0.9789
0.27,0.9792
0.29000000000000004,0.9786
0.31,0.9771
0.33,0.978
0.35000000000000003,0.9781
0.37,0.9756
0.39,0.9765
0.41000000000000003,0.9727
0.43,0.9744
0.45,0.9748
0.47000000000000003,0.974
0.49,0.9681
0.51,0.97
0.53,0.969
0.55,0.9688
0.5700000000000001,0.9668
0.59,0.9675
0.61,0.9614
0.63,0.9578
0.65,0.9548
0.67,0.9473
0.6900000000000001,0.9503
0.7100000000000001,0.944
0.73,0.9368
0.75,0.9306
0.77,0.9218
0.79,0.9106
0.81,0.8981
0.8300000000000001,0.8742
0.85,0.8559
0.87,0.8225
0.89,0.7695
0.91,0.723
0.93,0.6313
0.9500000000000001,0.5271
0.97,0.3252
0.99,0.1325
