,0.5
0.01,0.9831
0.03,0.9838
0.05,0.9812
0.06999999999999999,0.9806
0.09,0.9812
0.11,0.9817
0.13,0.9822
0.15000000000000002,0.9782
0.17,0.9804
0.19,0.9825
0.21000000000000002,0.9802
0.23,0.9787
0.25,0.9803
0.27,0.9796
0.29000000000000004,0.979
0.31,0.9798
0.33,0.9777
0.35000000000000003,0.9803
0.37,0.977
0.39,0.9776
0.41000000000000003,0.9782
0.43,0.9743
0.45,0.9757
0.47000000000000003,0.9741
0.49,0.9704
0.51,0.9718
0.53,0.9706
0.55,0.9687
0.5700000000000001,0.9676
0.59,0.9649
0.61,0.9617
0.63,0.9584
0.65,0.9579
0.67,0.9521
0.6900000000000001,0.952
0.7100000000000001,0.9393
0.73,0.9335
0.75,0.9293
0.77,0.9201
0.79,0.9149
0.81,0.9
0.8300000000000001,0.8762
0.85,0.8501
0.87,0.8223
0.89,0.7807
0.91,0.7295
0.93,0.6367
0.9500000000000001,0.5125
0.97,0.3247
0.99,0.1296
