,0.5
0.01,0.0277
0.03,0.0282
0.05,0.0302
0.06999999999999999,0.0296
0.09,0.029
0.11,0.0292
0.13,0.0277
0.15000000000000002,0.0305
0.17,0.0296
0.19,0.0325
0.21000000000000002,0.0258
0.23,0.0276
0.25,0.0305
0.27,0.0308
0.29000000000000004,0.0268
0.31,0.0266
0.33,0.0314
0.35000000000000003,0.03
0.37,0.0275
0.39,0.0268
0.41000000000000003,0.0276
0.43,0.0272
0.45,0.0257
0.47000000000000003,0.0321
0.49,0.0273
0.51,0.031
0.53,0.0275
0.55,0.0309
0.5700000000000001,0.0325
0.59,0.0264
0.61,0.0286
0.63,0.0265
0.65,0.0301
0.67,0.0279
0.6900000000000001,0.0273
0.7100000000000001,0.026
0.73,0.0271
0.75,0.0305
0.77,0.0303
0.79,0.0296
0.81,0.031
0.8300000000000001,0.0258
0.85,0.0259
0.87,0.0265
0.89,0.0228
0.91,0.0252
0.93,0.0197
0.9500000000000001,0.0161
0.97,0.0115
0.99,0.0047
