,0.5
0.01,0.0269
0.03,0.0262
0.05,0.0248
0.06999999999999999,0.0304
0.09,0.0252
0.11,0.0289
0.13,0.0257
0.15000000000000002,0.0283
0.17,0.0267
0.19,0.0263
0.21000000000000002,0.0274
0.23,0.0237
0.25,0.0245
0.27,0.0239
0.29000000000000004,0.0233
0.31,0.0264
0.33,0.0263
0.35000000000000003,0.0272
0.37,0.0279
0.39,0.0253
0.41000000000000003,0.0234
0.43,0.0232
0.45,0.0249
0.47000000000000003,0.0249
0.49,0.0255
0.51,0.0261
0.53,0.0251
0.55,0.0265
0.5700000000000001,0.0253
0.59,0.0253
0.61,0.0254
0.63,0.0267
0.65,0.0244
0.67,0.0259
0.6900000000000001,0.0226
0.7100000000000001,0.0259
0.73,0.0236
0.75,0.0228
0.77,0.0227
0.79,0.0217
0.81,0.0229
0.8300000000000001,0.0205
0.85,0.0212
0.87,0.0202
0.89,0.0183
0.91,0.0165
0.93,0.0152
0.9500000000000001,0.0114
0.97,0.0086
0.99,0.0037
