,0.5
0.01,0.9811
0.03,0.9795
0.05,0.9811
0.06999999999999999,0.9795
0.09,0.9816
0.11,0.98
0.13,0.9793
0.15000000000000002,0.9778
0.17,0.9798
0.19,0.9781
0.21000000000000002,0.9767
0.23,0.9785
0.25,0.9784
0.27,0.9791
0.29000000000000004,0.9797
0.31,0.9763
0.33,0.9776
0.35000000000000003,0.9767
0.37,0.9773
0.39,0.9777
0.41000000000000003,0.9744
0.43,0.9758
0.45,0.9744
0.47000000000000003,0.9753
0.49,0.9734
0.51,0.9736
0.53,0.9705
0.55,0.9693
0.5700000000000001,0.9636
0.59,0.9639
0.61,0.9602
0.63,0.9559
0.65,0.9528
0.67,0.9493
0.6900000000000001,0.9521
0.7100000000000001,0.9432
0.73,0.9376
0.75,0.9264
0.77,0.9159
0.79,0.9127
0.81,0.8898
0.8300000000000001,0.8734
0.85,0.8518
0.87,0.8167
0.89,0.7844
0.91,0.7109
0.93,0.6281
0.9500000000000001,0.5145
0.97,0.3345
0.99,0.1358
