,0.5
0.01,0.9804
0.03,0.9812
0.05,0.9809
0.06999999999999999,0.9792
0.09,0.9816
0.11,0.9776
0.13,0.9796
0.15000000000000002,0.9788
0.17,0.9796
0.19,0.9787
0.21000000000000002,0.9764
0.23,0.9806
0.25,0.9763
0.27,0.9775
0.29000000000000004,0.9767
0.31,0.9797
0.33,0.9778
0.35000000000000003,0.9795
0.37,0.9755
0.39,0.976
0.41000000000000003,0.9758
0.43,0.9756
0.45,0.9745
0.47000000000000003,0.9741
0.49,0.9727
0.51,0.9733
0.53,0.9644
0.55,0.9687
0.5700000000000001,0.9632
0.59,0.9687
0.61,0.9594
0.63,0.9583
0.65,0.956
0.67,0.9532
0.6900000000000001,0.946
0.7100000000000001,0.9445
0.73,0.9343
0.75,0.9285
0.77,0.9172
0.79,0.9089
0.81,0.8896
0.8300000000000001,0.8752
0.85,0.854
0.87,0.8185
0.89,0.7765
0.91,0.7157
0.93,0.6324
0.9500000000000001,0.5093
0.97,0.3387
0.99,0.1331
