age	total	males	females
0	358991	184413	174578
1	380587	195669	184918
2	396360	203707	192653
3	395542	203023	192519
4	380014	195110	184904
5	375351	192887	182464
6	374145	192262	181883
7	380786	195673	185113
8	393797	202537	191260
9	406017	208755	197262
10	424056	217497	206559
11	432424	221423	211001
12	417280	213808	203472
13	393061	201550	191511
14	375658	192589	183069
15	362587	185993	176594
16	353453	181332	172121
17	351900	180471	171429
18	359642	184352	175290
19	370470	189690	180780
20	376832	192757	184075
21	383753	196357	187396
22	397416	203257	194159
23	413805	211396	202409
24	427861	218197	209664
25	447598	227463	220135
26	470931	239456	231475
27	489788	249282	240506
28	514137	261773	252364
29	535284	272529	262755
30	543751	276549	267202
31	554485	281493	272992
32	568190	288338	279852
33	585810	297063	288747
34	615548	311630	303918
35	642635	325464	317171
36	661912	334851	327061
37	660751	334240	326511
38	635924	321634	314290
39	627241	316587	310654
40	630290	318449	311841
41	618663	312671	305992
42	606629	306250	300379
43	604554	304806	299748
44	594408	299237	295171
45	572726	288365	284361
46	550257	276777	273480
47	528427	265219	263208
48	507080	253860	253220
49	488266	244045	244221
50	470957	234991	235966
51	456953	227234	229719
52	449648	223252	226396
53	447628	221637	225991
54	450092	222201	227891
55	456192	224538	231654
56	464256	227368	236888
57	469118	228579	240539
58	477277	231203	246074
59	496675	238593	258082
60	523435	249653	273782
61	545014	258344	286670
62	554149	260638	293511
63	551412	257483	293929
64	545838	252978	292860
65	531459	243744	287715
66	512314	232093	280221
67	499043	223583	275460
68	483182	213573	269609
69	461085	201726	259359
70	432951	187516	245435
71	408953	175077	233876
72	381461	161364	220097
73	343295	142764	200531
74	274183	112081	162102
75	221686	88655	133031
76	211194	83001	128193
77	199572	77021	122551
78	196839	74123	122716
79	199871	73339	126532
80	195993	69792	126201
81	186241	64615	121626
82	176022	59657	116365
83	166012	54825	111187
84	153067	49219	103848
85	135840	42530	93310
86	119100	36270	82840
87	103800	30980	72830
88	94370	27110	67260
89	81890	23090	58800
90	70830	19310	51530
91	55580	14630	40950
92	43930	11190	32740
93	32730	7830	24900
94	24590	4970	19620
95	19790	4260	15530
96	13300	2780	10540
97	9540	1990	7550
98	6250	1230	5020
99	3540	700	2830
100	4570	890	3680
